training_dataset,model_dataset,model_name,original_accuracy,quantized_accuracy
imagenette,stanford-dogs,resnet152-ri-10-id-eZvv,0.9103,0.9093
imagenette,stanford-dogs,resnet152-ri-10-id-qv0l,0.9162,0.9136
imagenette,stanford-dogs,resnet152-ri-13-id-B6Ih,NaN,NaN
imagenette,stanford-dogs,resnet152-ri-18-id-VWDl,NaN,NaN
imagenette,stanford-dogs,resnet152-ri-19-id-sAhw,NaN,NaN
imagenette,stanford-dogs,resnet152-ri-21-id-4hsB,NaN,NaN
imagenette,stanford-dogs,resnet152-ri-7-id-VEzm,NaN,NaN
imagenette,stanford-cars,resnet152-ri-10-id-EYgx,0.9106,0.8879
imagenette,stanford-cars,resnet152-ri-11-id-bW9D,0.9083,0.8879
imagenette,stanford-cars,resnet152-ri-14-id-eZ46,0.9068,0.8797
imagenette,stanford-cars,resnet152-ri-16-id-CeIC,0.9017,0.882
imagenette,stanford-cars,resnet152-ri-16-id-aO5p,0.878,0.8724
imagenette,stanford-cars,resnet152-ri-23-id-ugN9,NaN,NaN
imagenette,stanford-cars,resnet152-ri-3-id-DnBM,0.9473,0.9157
imagenette,cub-birds-200,resnet152-ri-10-id-2eag,0.9129,0.9164
imagenette,cub-birds-200,resnet152-ri-10-id-AjlS,0.9164,0.918
imagenette,cub-birds-200,resnet152-ri-13-id-09Ot,NaN,NaN
imagenette,cub-birds-200,resnet152-ri-14-id-AIYS,0.9024,0.8968
imagenette,cub-birds-200,resnet152-ri-16-id-spmB,0.8961,0.8966
imagenette,cub-birds-200,resnet152-ri-17-id-WJvq,NaN,NaN
imagenette,cub-birds-200,resnet152-ri-9-id-gVXl,NaN,NaN
imagenette,food-101,resnet152-ri-10-id-wiID,0.9113,0.905
imagenette,food-101,resnet152-ri-11-id-Reb9,0.9083,0.8973
imagenette,food-101,resnet152-ri-13-id-QBpt,NaN,NaN
imagenette,food-101,resnet152-ri-15-id-O6NL,NaN,NaN
imagenette,food-101,resnet152-ri-17-id-Bndf,NaN,NaN
imagenette,food-101,resnet152-ri-7-id-bVhp,NaN,NaN
imagenette,food-101,resnet152-ri-7-id-mxqa,NaN,NaN
imagenette,image-woof,resnet152-ri-10-id-RUgD,0.9024,0.8882
imagenette,image-woof,resnet152-ri-13-id-WT33,NaN,NaN
imagenette,image-woof,resnet152-ri-14-id-KcHE,0.9006,0.8848
imagenette,image-woof,resnet152-ri-16-id-d8OP,0.8836,0.8627
imagenette,image-woof,resnet152-ri-16-id-iY05,0.8887,0.8553
imagenette,image-woof,resnet152-ri-3-id-ki6f,0.9513,0.9325
imagenette,image-woof,resnet152-ri-8-id-RTni,NaN,NaN
stanford-dogs,stanford-dogs,resnet152-ri-10-id-eZvv,0.7804,0.6448
stanford-dogs,stanford-dogs,resnet152-ri-10-id-qv0l,0.7787,0.6537
