training_dataset,model_dataset,model_name,original_accuracy,quantized_accuracy
stanford-dogs,stanford-dogs,resnet152-ri-13-id-B6Ih,NaN,NaN
stanford-dogs,stanford-dogs,resnet152-ri-18-id-VWDl,NaN,NaN
stanford-dogs,stanford-dogs,resnet152-ri-19-id-sAhw,NaN,NaN
stanford-dogs,stanford-dogs,resnet152-ri-21-id-4hsB,NaN,NaN
stanford-dogs,stanford-dogs,resnet152-ri-7-id-VEzm,NaN,NaN
stanford-dogs,stanford-cars,resnet152-ri-10-id-EYgx,0.3286,0.2392
stanford-dogs,stanford-cars,resnet152-ri-11-id-bW9D,0.3191,0.2519
stanford-dogs,stanford-cars,resnet152-ri-14-id-eZ46,0.2984,0.2375
stanford-dogs,stanford-cars,resnet152-ri-16-id-CeIC,0.302,0.2355
stanford-dogs,stanford-cars,resnet152-ri-16-id-aO5p,0.283,0.2143
stanford-dogs,stanford-cars,resnet152-ri-23-id-ugN9,NaN,NaN
stanford-dogs,stanford-cars,resnet152-ri-3-id-DnBM,0.4632,0.3686
stanford-dogs,cub-birds-200,resnet152-ri-10-id-2eag,0.4604,0.4045
stanford-dogs,cub-birds-200,resnet152-ri-10-id-AjlS,0.4478,0.3807
stanford-dogs,cub-birds-200,resnet152-ri-13-id-09Ot,NaN,NaN
stanford-dogs,cub-birds-200,resnet152-ri-14-id-AIYS,0.4371,0.3634
stanford-dogs,cub-birds-200,resnet152-ri-16-id-spmB,0.4069,0.3372
stanford-dogs,cub-birds-200,resnet152-ri-17-id-WJvq,NaN,NaN
stanford-dogs,cub-birds-200,resnet152-ri-9-id-gVXl,NaN,NaN
stanford-dogs,food-101,resnet152-ri-10-id-wiID,0.3869,0.3152
stanford-dogs,food-101,resnet152-ri-11-id-Reb9,0.3899,0.3253
stanford-dogs,food-101,resnet152-ri-13-id-QBpt,NaN,NaN
stanford-dogs,food-101,resnet152-ri-15-id-O6NL,NaN,NaN
stanford-dogs,food-101,resnet152-ri-17-id-Bndf,NaN,NaN
stanford-dogs,food-101,resnet152-ri-7-id-bVhp,NaN,NaN
stanford-dogs,food-101,resnet152-ri-7-id-mxqa,NaN,NaN
stanford-dogs,image-woof,resnet152-ri-10-id-RUgD,0.5723,0.4638
stanford-dogs,image-woof,resnet152-ri-13-id-WT33,NaN,NaN
stanford-dogs,image-woof,resnet152-ri-14-id-KcHE,0.5382,0.4422
stanford-dogs,image-woof,resnet152-ri-16-id-d8OP,0.5233,0.4193
stanford-dogs,image-woof,resnet152-ri-16-id-iY05,0.5133,0.4171
stanford-dogs,image-woof,resnet152-ri-3-id-ki6f,0.6438,0.534
stanford-dogs,image-woof,resnet152-ri-8-id-RTni,NaN,NaN
stanford-cars,stanford-dogs,resnet152-ri-10-id-eZvv,0.1134,0.1338
stanford-cars,stanford-dogs,resnet152-ri-10-id-qv0l,0.1265,0.1336
stanford-cars,stanford-dogs,resnet152-ri-13-id-B6Ih,NaN,NaN
stanford-cars,stanford-dogs,resnet152-ri-18-id-VWDl,NaN,NaN
stanford-cars,stanford-dogs,resnet152-ri-19-id-sAhw,NaN,NaN
stanford-cars,stanford-dogs,resnet152-ri-21-id-4hsB,NaN,NaN
stanford-cars,stanford-dogs,resnet152-ri-7-id-VEzm,NaN,NaN
stanford-cars,stanford-cars,resnet152-ri-10-id-EYgx,0.7689,0.6586
stanford-cars,stanford-cars,resnet152-ri-11-id-bW9D,0.7691,0.679
stanford-cars,stanford-cars,resnet152-ri-14-id-eZ46,0.7708,0.6775
stanford-cars,stanford-cars,resnet152-ri-16-id-CeIC,0.7764,0.6824
stanford-cars,stanford-cars,resnet152-ri-16-id-aO5p,0.7606,0.658
stanford-cars,stanford-cars,resnet152-ri-23-id-ugN9,NaN,NaN
stanford-cars,stanford-cars,resnet152-ri-3-id-DnBM,0.7489,0.6406
stanford-cars,cub-birds-200,resnet152-ri-10-id-2eag,0.1578,0.1548
stanford-cars,cub-birds-200,resnet152-ri-10-id-AjlS,0.1581,0.1465
stanford-cars,cub-birds-200,resnet152-ri-13-id-09Ot,NaN,NaN
stanford-cars,cub-birds-200,resnet152-ri-14-id-AIYS,0.1647,0.1433
stanford-cars,cub-birds-200,resnet152-ri-16-id-spmB,0.1664,0.1412
stanford-cars,cub-birds-200,resnet152-ri-17-id-WJvq,NaN,NaN
stanford-cars,cub-birds-200,resnet152-ri-9-id-gVXl,NaN,NaN
stanford-cars,food-101,resnet152-ri-10-id-wiID,0.1547,0.164
stanford-cars,food-101,resnet152-ri-11-id-Reb9,0.1415,0.1464
stanford-cars,food-101,resnet152-ri-13-id-QBpt,NaN,NaN
stanford-cars,food-101,resnet152-ri-15-id-O6NL,NaN,NaN
stanford-cars,food-101,resnet152-ri-17-id-Bndf,NaN,NaN
stanford-cars,food-101,resnet152-ri-7-id-bVhp,NaN,NaN
stanford-cars,food-101,resnet152-ri-7-id-mxqa,NaN,NaN
stanford-cars,image-woof,resnet152-ri-10-id-RUgD,0.0903,0.0849
stanford-cars,image-woof,resnet152-ri-13-id-WT33,NaN,NaN
stanford-cars,image-woof,resnet152-ri-14-id-KcHE,0.081,0.0889
stanford-cars,image-woof,resnet152-ri-16-id-d8OP,0.0813,0.0677
stanford-cars,image-woof,resnet152-ri-16-id-iY05,0.0757,0.0716
stanford-cars,image-woof,resnet152-ri-3-id-ki6f,0.1047,0.1331
stanford-cars,image-woof,resnet152-ri-8-id-RTni,NaN,NaN
cub-birds-200,stanford-dogs,resnet152-ri-10-id-eZvv,0.2957,0.2504
cub-birds-200,stanford-dogs,resnet152-ri-10-id-qv0l,0.3055,0.2423
cub-birds-200,stanford-dogs,resnet152-ri-13-id-B6Ih,NaN,NaN
cub-birds-200,stanford-dogs,resnet152-ri-18-id-VWDl,NaN,NaN
cub-birds-200,stanford-dogs,resnet152-ri-19-id-sAhw,NaN,NaN
cub-birds-200,stanford-dogs,resnet152-ri-21-id-4hsB,NaN,NaN
cub-birds-200,stanford-dogs,resnet152-ri-7-id-VEzm,NaN,NaN
cub-birds-200,stanford-cars,resnet152-ri-10-id-EYgx,0.2114,0.1565
cub-birds-200,stanford-cars,resnet152-ri-11-id-bW9D,0.193,0.1657
cub-birds-200,stanford-cars,resnet152-ri-14-id-eZ46,0.1804,0.1534
cub-birds-200,stanford-cars,resnet152-ri-16-id-CeIC,0.1976,0.1596
cub-birds-200,stanford-cars,resnet152-ri-16-id-aO5p,0.1921,0.1389
cub-birds-200,stanford-cars,resnet152-ri-23-id-ugN9,NaN,NaN
cub-birds-200,stanford-cars,resnet152-ri-3-id-DnBM,0.2686,0.2159
cub-birds-200,cub-birds-200,resnet152-ri-10-id-2eag,0.7182,0.5644
cub-birds-200,cub-birds-200,resnet152-ri-10-id-AjlS,0.7114,0.5309
cub-birds-200,cub-birds-200,resnet152-ri-13-id-09Ot,NaN,NaN
cub-birds-200,cub-birds-200,resnet152-ri-14-id-AIYS,0.708,0.534
cub-birds-200,cub-birds-200,resnet152-ri-16-id-spmB,0.7026,0.5342
cub-birds-200,cub-birds-200,resnet152-ri-17-id-WJvq,NaN,NaN
cub-birds-200,cub-birds-200,resnet152-ri-9-id-gVXl,NaN,NaN
cub-birds-200,food-101,resnet152-ri-10-id-wiID,0.2356,0.1681
cub-birds-200,food-101,resnet152-ri-11-id-Reb9,0.213,0.1785
cub-birds-200,food-101,resnet152-ri-13-id-QBpt,NaN,NaN
cub-birds-200,food-101,resnet152-ri-15-id-O6NL,NaN,NaN
cub-birds-200,food-101,resnet152-ri-17-id-Bndf,NaN,NaN
cub-birds-200,food-101,resnet152-ri-7-id-bVhp,NaN,NaN
cub-birds-200,food-101,resnet152-ri-7-id-mxqa,NaN,NaN
cub-birds-200,image-woof,resnet152-ri-10-id-RUgD,0.1993,0.1424
cub-birds-200,image-woof,resnet152-ri-13-id-WT33,NaN,NaN
cub-birds-200,image-woof,resnet152-ri-14-id-KcHE,0.1767,0.1439
cub-birds-200,image-woof,resnet152-ri-16-id-d8OP,0.1653,0.1332
cub-birds-200,image-woof,resnet152-ri-16-id-iY05,0.171,0.1476
cub-birds-200,image-woof,resnet152-ri-3-id-ki6f,0.2352,0.1631
cub-birds-200,image-woof,resnet152-ri-8-id-RTni,NaN,NaN
food-101,stanford-dogs,resnet152-ri-10-id-eZvv,0.5604,0.5568
food-101,stanford-dogs,resnet152-ri-10-id-qv0l,NaN,NaN
food-101,stanford-dogs,resnet152-ri-13-id-B6Ih,NaN,NaN
food-101,stanford-dogs,resnet152-ri-18-id-VWDl,NaN,NaN
food-101,stanford-dogs,resnet152-ri-19-id-sAhw,NaN,NaN
food-101,stanford-dogs,resnet152-ri-21-id-4hsB,NaN,NaN
food-101,stanford-cars,resnet152-ri-10-id-EYgx,0.5227,0.5318
food-101,stanford-cars,resnet152-ri-11-id-bW9D,0.5134,0.5189
food-101,stanford-cars,resnet152-ri-14-id-eZ46,0.5036,NaN
food-101,stanford-cars,resnet152-ri-16-id-CeIC,NaN,0.5448
food-101,cub-birds-200,resnet152-ri-10-id-2eag,0.541,0.5391
food-101,cub-birds-200,resnet152-ri-10-id-AjlS,NaN,NaN
food-101,cub-birds-200,resnet152-ri-13-id-09Ot,0.5327,0.5342
food-101,cub-birds-200,resnet152-ri-14-id-AIYS,NaN,NaN
food-101,cub-birds-200,resnet152-ri-16-id-spmB,NaN,NaN
food-101,food-101,resnet152-ri-10-id-wiID,0.7678,0.764
food-101,food-101,resnet152-ri-11-id-Reb9,NaN,NaN
food-101,food-101,resnet152-ri-13-id-QBpt,NaN,NaN
food-101,food-101,resnet152-ri-15-id-O6NL,NaN,NaN
food-101,food-101,resnet152-ri-17-id-Bndf,NaN,NaN
food-101,food-101,resnet152-ri-7-id-bVhp,NaN,NaN
food-101,image-woof,resnet152-ri-10-id-RUgD,0.5285,NaN
food-101,image-woof,resnet152-ri-13-id-WT33,NaN,0.5197
food-101,image-woof,resnet152-ri-14-id-KcHE,0.5054,0.5067
food-101,image-woof,resnet152-ri-16-id-d8OP,0.5633,NaN
image-woof,stanford-dogs,resnet152-ri-10-id-eZvv,0.9254,0.8722
image-woof,stanford-dogs,resnet152-ri-10-id-qv0l,0.9132,0.861
image-woof,stanford-dogs,resnet152-ri-13-id-B6Ih,NaN,NaN
image-woof,stanford-dogs,resnet152-ri-18-id-VWDl,NaN,NaN
image-woof,stanford-dogs,resnet152-ri-19-id-sAhw,NaN,NaN
image-woof,stanford-dogs,resnet152-ri-21-id-4hsB,NaN,NaN
image-woof,stanford-dogs,resnet152-ri-7-id-VEzm,NaN,NaN
image-woof,stanford-cars,resnet152-ri-10-id-EYgx,0.6852,0.7032
image-woof,stanford-cars,resnet152-ri-11-id-bW9D,0.7165,0.6857
image-woof,stanford-cars,resnet152-ri-14-id-eZ46,0.6735,0.6689
image-woof,stanford-cars,resnet152-ri-16-id-CeIC,0.7177,0.6757
image-woof,stanford-cars,resnet152-ri-16-id-aO5p,0.6798,0.6684
image-woof,stanford-cars,resnet152-ri-23-id-ugN9,NaN,NaN
image-woof,stanford-cars,resnet152-ri-3-id-DnBM,0.8195,0.7839
image-woof,cub-birds-200,resnet152-ri-10-id-2eag,0.7587,0.7592
image-woof,cub-birds-200,resnet152-ri-10-id-AjlS,0.7969,0.7814
image-woof,cub-birds-200,resnet152-ri-13-id-09Ot,NaN,NaN
image-woof,cub-birds-200,resnet152-ri-14-id-AIYS,0.7916,0.7597
image-woof,cub-birds-200,resnet152-ri-16-id-spmB,0.7676,0.6752
image-woof,cub-birds-200,resnet152-ri-17-id-WJvq,NaN,NaN
image-woof,cub-birds-200,resnet152-ri-9-id-gVXl,NaN,NaN
image-woof,food-101,resnet152-ri-10-id-wiID,0.786,0.749
image-woof,food-101,resnet152-ri-11-id-Reb9,0.7816,0.7226
image-woof,food-101,resnet152-ri-13-id-QBpt,NaN,NaN
image-woof,food-101,resnet152-ri-15-id-O6NL,NaN,NaN
image-woof,food-101,resnet152-ri-17-id-Bndf,NaN,NaN
image-woof,food-101,resnet152-ri-7-id-bVhp,NaN,NaN
image-woof,food-101,resnet152-ri-7-id-mxqa,NaN,NaN
image-woof,image-woof,resnet152-ri-10-id-RUgD,0.9348,0.8796
image-woof,image-woof,resnet152-ri-13-id-WT33,NaN,NaN
image-woof,image-woof,resnet152-ri-14-id-KcHE,0.932,0.8768
image-woof,image-woof,resnet152-ri-16-id-d8OP,0.9219,0.8682
image-woof,image-woof,resnet152-ri-16-id-iY05,0.9234,0.8697
image-woof,image-woof,resnet152-ri-3-id-ki6f,0.9466,0.9005
image-woof,image-woof,resnet152-ri-8-id-RTni,NaN,NaN
